Month,Group,Commodity,Unit,Quantity_2025,Rupees_2025,Dollar_2025,Quantity_2024,Rupees_2024,Dollars_2024
Month,Group,Commodity,Unit,Quantity_2025,Rupees_2025,Dollar_2025,Quantity_2024,Rupees_2024,Dollars_2024
2025-07,Food Group,1.Rice, M.T,291901.50602639996,47694.674623673636,168109.90713516576,270002,57278,205745
2025-07,Food Group,A) Basmati, M.T,52339.358858600004,15823.612926366404,55759.53782931919,91370,25760,92531
2025-07,Food Group,B) Others, M.T,239562.14716779994,31871.061697307236,112350.36930584657,178632,31518,113214
2025-07,Food Group,2.Fish & Fish Preparations, M.T,11781.962710000002,6379.6512401480995,22447.669518582195,9713,5269,18928
2025-07,Food Group,3.Fruits, M.T,59981.0800686,16469.329154362913,57964.663805558914,52479,11235,40357
2025-07,Food Group,4.Vegetables, M.T,60146.79994769999,4512.967688375397,15899.840553086378,85204,8041,28884
2025-07,Food Group,5.Leguminous Vegetables  (Pulses), M.T,0,0,0,0,0,0
2025-07,Food Group,6.Tobacco, M.T,866,1130.1238627624002,3989.8560403455167,180,125,450
2025-07,Food Group,7.Wheat, M.T,0,0,0,0,0,0
2025-07,Food Group,8.Spices, M.T,2044.7989383000001,1919.4468193273997,6753.143346384632,2042,1521,5462
2025-07,Food Group,"9.Oil Seeds, Nuts And Kernals", M.T,3533.7466819,1196.2183644034997,4210.653494674405,5148,1611,5787
2025-07,Food Group,10.Sugar, M.T,0,0,0,39158,6658,23916
2025-07,Food Group,11.Meat And Meat Preparations, M.T,9031.209461100001,11496.245491758196,40460.58857880816,8408,10258,36849
2025-07,Food Group,12.All Other Food Items,    -,-,30433.985944972606,107158.95062184743,-,30453,109388
2025-07,Textile Group,13.Raw Cotton, M.T,0,0,0,0,0,0
2025-07,Textile Group,14.Cotton Yarn, M.T,22536.369953099995,15930.585827383993,56070.252900875144,20431,15520,55750
2025-07,Textile Group,15.Cotton Cloth, M.T,27893.519151200016,40281.24735714248,141822.5448895748,26424,39016,140148
2025-07,Textile Group,16.Cotton Carded Or Combed, M.T,0,0,0,0,0,0
2025-07,Textile Group,17.Yarn Other Than Cotton Yarn, M.T,1222.0756845000003,842.3504216141001,2965.4421473909506,943,711,2556
2025-07,Textile Group,18.Knitwear,TH.DOZ,27649,145798.82791287496,513276.79488333594,18303,99575,357682
2025-07,Textile Group,19.Bed Wear, M.T,49495.9288604,84179.61598550716,296354.15456579375,35246,59661,214305
2025-07,Textile Group,20.Towels, M.T,19355.639765699987,26665.54107165264,93876.94593223541,14570,19513,70093
2025-07,Textile Group,"21.Tents,Canvas & Tarpulin", M.T,2422.4913467999995,1926.9247085866,6783.374217418999,3086,3028,10877
2025-07,Textile Group,22.Readymade Garments,TH.DOZ,7854,113682.94543479977,400251.5364821822,5737,82250,295449
2025-07,Textile Group,"23.Art,Silk & Synthetic Textile", M.T,6627.365693,9416.412963469904,33149.657348616056,6179,7585,27245
2025-07,Textile Group,24.Madeup Articles(Excl.Towels & Bedwear.),   -,-,19847.49377219131,69866.72841337507,-,13379,48058
2025-07,Textile Group,25.Other Textile Materials,   -,-,18513.93574727721,65173.55403236099,-,13634,48973
